id	title	description	availability	link	image link	price	identifier exists	gtin	mpn	brand	product highlight	product detail	additional image link	condition	adult	color	size	gender	material	pattern	age group	multipack	is bundle	unit pricing measure	unit pricing base measure	energy efficiency class	min energy efficiency class	max energy efficiency class	item group id	sell on google quantity	shipping	return policy label
army-green-cycling-shoe	Pairobin SPD Cycling Shoes – Army Green, Mesh Upper, Recessed Cleats	Pairobin army green cycling shoes with recessed SPD cleats and engineered mesh upper. Features a durable rubber sole, built-in nylon bracket for efficient power transfer, anti-odor lining, and a secure Velcro strap. Suitable for indoor spinning and outdoor road cycling. Available in men's and women's sizes 5.5–10.	in_stock	https://pairobin.com/product/army-green-cycling-shoe	https://pairobin.com/products/cycling-army-green.jpg	80.00 USD	no		army-green-cycling-shoe	Pairobin	Recessed SPD cleats included	section_name=Features,attribute_name=Sole,attribute_value=Rubber		new	no	Army Green	5.5/6.5/7/8/8.5/9.5/10	unisex	Mesh/Rubber	Solid	adult					cycling-shoes		US:::0 USD	30-day returns
beige-green-cycling-shoe	Pairobin SPD Cycling Shoes – Beige Green, Breathable Mesh, Unisex	Pairobin beige green cycling shoes featuring breathable mesh upper and recessed SPD cleats. Lightweight rubber sole with Velcro closure for a secure, adjustable fit. Designed for both indoor cycling classes and outdoor rides. Unisex sizing from 5.5 to 10.	in_stock	https://pairobin.com/product/beige-green-cycling-shoe	https://pairobin.com/products/cycling-beige-green.jpg	79.00 USD	no		beige-green-cycling-shoe	Pairobin	Recessed SPD cleats included	section_name=Features,attribute_name=Sole,attribute_value=Rubber		new	no	Beige/Green	5.5/6.5/7/8/8.5/9.5/10	unisex	Mesh/Rubber	Solid	adult					cycling-shoes		US:::0 USD	30-day returns
beige-pink-cycling-shoe	Pairobin Women's SPD Cycling Shoes – Beige Pink, Mesh Upper	Pairobin women's beige pink cycling shoes with recessed SPD cleats and engineered mesh for breathability. Rubber sole and secure Velcro closure provide stability during indoor and outdoor cycling sessions. Sizes 5.5–10.	in_stock	https://pairobin.com/product/beige-pink-cycling-shoe	https://pairobin.com/products/cycling-beige-pink.jpg	79.00 USD	no		beige-pink-cycling-shoe	Pairobin	Recessed SPD cleats included	section_name=Features,attribute_name=Sole,attribute_value=Rubber		new	no	Beige/Pink	5.5/6.5/7/8/8.5/9.5/10	female	Mesh/Rubber	Solid	adult					cycling-shoes		US:::0 USD	30-day returns
black-green-cycling-shoe	Pairobin SPD Cycling Shoes – Black Green, Anti-Odor, Rubber Sole	Pairobin black and green cycling shoes with recessed SPD cleats, anti-odor lining, and durable rubber sole. Secure fit system keeps feet stable during high-intensity rides. Compatible with standard SPD pedals. Unisex sizes 5.5–10.	in_stock	https://pairobin.com/product/black-green-cycling-shoe	https://pairobin.com/products/cycling-black-green.jpg	79.00 USD	no		black-green-cycling-shoe	Pairobin	Recessed SPD cleats included	section_name=Features,attribute_name=Sole,attribute_value=Rubber		new	no	Black/Green	5.5/6.5/7/8/8.5/9.5/10	unisex	Mesh/Rubber	Solid	adult					cycling-shoes		US:::0 USD	30-day returns
green-cycling-shoe	Pairobin SPD Cycling Shoes – Green, Lightweight Mesh, Unisex	Pairobin green cycling shoes featuring breathable mesh upper and recessed SPD cleats. Lightweight construction with rubber sole for reliable grip. Ideal for road cycling and spin classes. Available in unisex sizes 5.5–10.	in_stock	https://pairobin.com/product/green-cycling-shoe	https://pairobin.com/products/cycling-green.jpg	79.00 USD	no		green-cycling-shoe	Pairobin	Recessed SPD cleats included	section_name=Features,attribute_name=Sole,attribute_value=Rubber		new	no	Green	5.5/6.5/7/8/8.5/9.5/10	unisex	Mesh/Rubber	Solid	adult					cycling-shoes		US:::0 USD	30-day returns
pink-cycling-shoe	Pairobin Women's SPD Cycling Shoes – Pink, Premium Mesh Upper	Pairobin women's pink cycling shoes with premium mesh upper and recessed SPD cleats. Velcro strap closure ensures a snug, adjustable fit. Rubber sole provides traction on and off the bike. Women's sizes 5.5–10.	in_stock	https://pairobin.com/product/pink-cycling-shoe	https://pairobin.com/products/cycling-pink.jpg	79.00 USD	no		pink-cycling-shoe	Pairobin	Recessed SPD cleats included	section_name=Features,attribute_name=Sole,attribute_value=Rubber		new	no	Pink	5.5/6.5/7/8/8.5/9.5/10	female	Mesh/Rubber	Solid	adult					cycling-shoes		US:::0 USD	30-day returns
indoor-cycling-pro	Pairobin Professional Indoor Cycling Shoes – Delta/SPD Compatible, Carbon-Reinforced Sole	Pairobin professional indoor cycling shoes compatible with both Delta and SPD cleat systems. Carbon-reinforced rigid sole maximizes power transfer during spinning sessions. Breathable mesh panels and ratchet closure for a secure, ventilated fit. Unisex sizes 5–10.5.	in_stock	https://pairobin.com/product/indoor-cycling-pro	https://pairobin.com/products/cycling-indoor-pro.jpg	69.00 USD	no		indoor-cycling-pro	Pairobin	Delta/SPD compatible cleats	section_name=Features,attribute_name=Sole,attribute_value=Carbon-Reinforced		new	no	Black	5/5.5/6/6.5/7/7.5/8/8.5/9/9.5/10/10.5	unisex	Mesh/Carbon Fiber	Solid	adult					cycling-shoes		US:::0 USD	30-day returns
black-roller-shoes	Pairobin Kids LED Roller Shoes – Black, Retractable Wheels, USB Rechargeable	Pairobin kids' black LED roller shoes with retractable single wheel and USB-rechargeable lights. Wheels stow flush for normal walking mode. Velcro closure for easy on/off. 1–2 hour charge provides 4–5 hours of LED flashing. Kids' sizes 12.5–7.	in_stock	https://pairobin.com/product/black-roller-shoes	https://pairobin.com/products/roller-black.jpg	51.90 USD	no		black-roller-shoes	Pairobin	Retractable wheel system	section_name=Features,attribute_name=Lights,attribute_value=USB Rechargeable LED		new	no	Black	12.5/13.5/1/1.5/2.5/3/3.5/4.5/5.5/6/7	unisex	Synthetic/Rubber	Solid	kids					roller-shoes		US:::0 USD	30-day returns
pink-roller-shoes	Pairobin Kids LED Roller Shoes – Pink, Retractable Wheels, USB Rechargeable	Pairobin kids' pink LED roller shoes with hidden retractable wheel and USB-rechargeable lights. Breathable upper keeps feet cool during active play. Easy Velcro closure for independent wear. Kids' sizes 12.5–7.	in_stock	https://pairobin.com/product/pink-roller-shoes	https://pairobin.com/products/roller-pink.jpg	51.90 USD	no		pink-roller-shoes	Pairobin	Retractable wheel system	section_name=Features,attribute_name=Lights,attribute_value=USB Rechargeable LED		new	no	Pink	12.5/13.5/1/1.5/2.5/3/3.5/4.5/5.5/6/7	unisex	Synthetic/Rubber	Solid	kids					roller-shoes		US:::0 USD	30-day returns
kids-roller-skate-4wheel-black	Pairobin Kids 4-Wheel Hidden Roller Skate Sneakers – Black, Walk & Roll	Pairobin kids' black 4-wheel hidden roller skate sneakers with 2-in-1 walk or roll functionality. Four concealed wheels retract into the sole for regular walking. Breathable upper and lightweight construction for all-day comfort. Kids' sizes 1–6.5.	in_stock	https://pairobin.com/product/kids-roller-skate-4wheel-black	https://pairobin.com/products/roller-kids-4wheel.jpg	39.90 USD	no		kids-roller-skate-4wheel-black	Pairobin	4-wheel hidden design	section_name=Features,attribute_name=Function,attribute_value=2-in-1 Walk or Roll		new	no	Black	1/1.5/3/3.5/4/4.5/5.5/6/6.5	unisex	Synthetic/Rubber	Solid	kids					kids-roller-skate		US:::0 USD	30-day returns
